name,region,number,link,description,a1,a1_description,a2,a3,a4,a5,a5_description,a6,a6_description,a7,a7_1,a7_2,a7_description
洪昀,醫學院,1,https://drive.google.com/file/d/1DR-gWM4ravfeHzTsNwDA5aRlAogJXTTI/view?usp=drivesdk,#N/A,"E,C,A,D,B",,-1,-1,-0.667,-0.667,在沒有經過所謂意見調查之前（如問卷形式的資料統計等），學生會長不應隨便替學生發言。,-0.667,無。,J,目前尚無，未來將進行學生意見調查，再多加規劃並推動。,,無。
何京哲,文學院,1,https://drive.google.com/file/d/1TDW_xGA5fdY9_ulPR9JsZ0_6pvi9m6Bw/view?usp=drivesdk,"<p>（一）未來一年中，學生代表的任務，重要性由高到低排序為：「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「監督學生會行政施政」、「反映選民意見」、「向校方爭取權益」、「對社會議題進行表態、倡議」。<br />
<br />
補充說明：　　學代會不應成為人們口中詬病的「少數人家家酒」，為提升全體學生對於學生自治的參與感，我認為「資訊公開」是首要之務。會議紀錄的透明，能使選民清楚知道有哪些重大決議被作出，並能檢視自己票選出的學代是否適格。我認為唯學代會運作「有感」，讓大家知道選出的學代能帶來什麼改變，才是長遠刺激學生參與的良方；監督行政、傳達民意、爭取權益三位一體，從整體學生的意向為出發，確保學生會的施政方向為眾人所望，同時從嚴把關預算花費，讓錢花在正確的位置。而在權益爭取方面，也期待能與學生會各部門合作，讓臺大成為一個能讓人自在學習、充分探索的場域；之所以將社會議題的表態與倡議列為最不重要，在於取用大量社會資源的我們，本應肩負起社會責任，就現有的社會問題提出針砭與倡議。此非只有學代才能辦到，也非學代的職責，然而若行有餘力，亦可發揮自身的影響力讓社會變得更好。
<br />
<br />
（二）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定不行」表態<br />
（三）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「一定可以」表態<br />
（四）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「一定不行」表態<br />
（五）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」表態。<br />
<br />
補充說明：　　對於各項議題的表態，如是代表整體臺大學生發言，我認為需取得學生意向的高度一致，若否，則不應輕易代言臺大學生。不過學生會長要以個人立場對議題進行表態並無，只是必須切分清楚。<br />
<br />
（六）學生會與校方之間的關係，應該要比較接近「介於橋樑式與工會式中間」。<br />
<br />
補充說明：　　學代會不應成為人們口中詬病的「少數人家家酒」，為提升全體學生對於學生自治的參與感，我認為「資訊公開」是首要之務。會議紀錄的透明，能使選民清楚知道有哪些重大決議被作出，並能檢視自己票選出的學代是否適格。我認為唯學代會運作「有感」，讓大家知道選出的學代能帶來什麼改變，才是長遠刺激學生參與的良方；監督行政、傳達民意、爭取權益三位一體，從整體學生的意向為出發，確保學生會的施政方向為眾人所望，同時從嚴把關預算花費，讓錢花在正確的位置。而在權益爭取方面，也期待能與學生會各部門合作，讓臺大成為一個能讓人自在學習、充分探索的場域；之所以將社會議題的表態與倡議列為最不重要，在於取用大量社會資源的我們，本應肩負起社會責任，就現有的社會問題提出針砭與倡議。此非只有學代才能辦到，也非學代的職責，然而若行有餘力，亦可發揮自身的影響力讓社會變得更好。
<br />
<br />
（七）接下來的一年中，最重要、最值得被推動的校園議題類別是：「教務改革」；具體而言是：「改善期末評鑑制度」。<br />
<br />
補充說明：　　這是我目前最有想法，且已有具體方案而欲推動的政見。可參考我在PTT的文章：https://www.ptt.cc/bbs/NTU/M.1517059110.A.9CE.html
<p>","D,E,C,A,B","　　學代會不應成為人們口中詬病的「少數人家家酒」，為提升全體學生對於學生自治的參與感，我認為「資訊公開」是首要之務。會議紀錄的透明，能使選民清楚知道有哪些重大決議被作出，並能檢視自己票選出的學代是否適格。我認為唯學代會運作「有感」，讓大家知道選出的學代能帶來什麼改變，才是長遠刺激學生參與的良方；監督行政、傳達民意、爭取權益三位一體，從整體學生的意向為出發，確保學生會的施政方向為眾人所望，同時從嚴把關預算花費，讓錢花在正確的位置。而在權益爭取方面，也期待能與學生會各部門合作，讓臺大成為一個能讓人自在學習、充分探索的場域；之所以將社會議題的表態與倡議列為最不重要，在於取用大量社會資源的我們，本應肩負起社會責任，就現有的社會問題提出針砭與倡議。此非只有學代才能辦到，也非學代的職責，然而若行有餘力，亦可發揮自身的影響力讓社會變得更好。
",-1,1,-1,1,　　對於各項議題的表態，如是代表整體臺大學生發言，我認為需取得學生意向的高度一致，若否，則不應輕易代言臺大學生。不過學生會長要以個人立場對議題進行表態並無，只是必須切分清楚。,0,"　　學代會不應成為人們口中詬病的「少數人家家酒」，為提升全體學生對於學生自治的參與感，我認為「資訊公開」是首要之務。會議紀錄的透明，能使選民清楚知道有哪些重大決議被作出，並能檢視自己票選出的學代是否適格。我認為唯學代會運作「有感」，讓大家知道選出的學代能帶來什麼改變，才是長遠刺激學生參與的良方；監督行政、傳達民意、爭取權益三位一體，從整體學生的意向為出發，確保學生會的施政方向為眾人所望，同時從嚴把關預算花費，讓錢花在正確的位置。而在權益爭取方面，也期待能與學生會各部門合作，讓臺大成為一個能讓人自在學習、充分探索的場域；之所以將社會議題的表態與倡議列為最不重要，在於取用大量社會資源的我們，本應肩負起社會責任，就現有的社會問題提出針砭與倡議。此非只有學代才能辦到，也非學代的職責，然而若行有餘力，亦可發揮自身的影響力讓社會變得更好。
",E,改善期末評鑑制度,,"　　這是我目前最有想法，且已有具體方案而欲推動的政見。可參考我在PTT的文章：https://www.ptt.cc/bbs/NTU/M.1517059110.A.9CE.html
"
周安履,文學院,2,https://drive.google.com/file/d/1joaWCvBG8xU9sjXOoDb4aiE5agMg4ich/view?usp=drivesdk,#N/A,"E,A,C,D,B",,0.667,1,1,1,,0,無。,"E,C",廢英檢,提高校務會議學生名額,無。
蔡靖嵐,文學院,6,https://drive.google.com/file/d/1uyoO4nEtMEA9SwZSftES9u2PrgTeGXjL/view?usp=drivesdk,#N/A,"A,E,B,D,C",,-1,1,-1,0.667,,0,看情況而定,"D,G",支持設立性別友善廁所及宿舍,支持人文大樓早日開工,無。
林宇廷,文學院,7,https://drive.google.com/file/d/1k_Rrj-hIGtw783u0sP_SHHkS12NP7yG0/view?usp=drivesdk,#N/A,"A,B,E,C,D",,-1,1,1,1,,0.667,無。,"K,P",校務參與,心理輔導,無。
葉叡宸,文學院,8,https://drive.google.com/file/d/1lC0NUkOGXbeXurYxliMyM_VcvBGcbKrG/view?usp=drivesdk,#N/A,"C,A,E,D,B",,-0.667,1,-1,1,,-1,無。,"C,G",確實且全面反映各類文學院學生對直接性全校議題之觀點與意見，並敦促學生會與校方溝通、具體實踐,持續關注人文大樓興建案及師生空間分配問題,"1.努力提高文院學生自治參與度
2.建立文學院學生對直接性全校公共議題觀點之意見反映管道，如爭取學生福利課題（共同修業制度、生活與受教相關權益）、本校校長遴選課題、使用空間分配公平性議題。"
李承浩,社會科學院,1,https://drive.google.com/file/d/10uIMs81wAapgau9nv5HChyAJqIDMwR5C/view?usp=drivesdk,#N/A,"A,C,E,B,D",學生代表首要之務就是幫助選民進行權利爭取,-1,1,0.667,1,,1,無。,"O,B",校內餐廳品質提升,廢除服務學習,無。
謝馥暄,社會科學院,2,https://drive.google.com/file/d/1vv1Ec_oHcuxrN-CzHdK1wJV_WwsBUz47/view?usp=drivesdk,"<p>（一）未來一年中，學生代表的任務，重要性由高到低排序為：「反映選民意見」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「向校方爭取權益」、「監督學生會行政施政」、「對社會議題進行表態、倡議」。<br />
<br />
補充說明：對於任何議題的立場我皆是以為師生們爭取最佳利益為主<br />
<br />
（二）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定不行」表態<br />
（三）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「偏向可以」表態<br />
（四）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「介於不行與可以中間」表態<br />
（五）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」表態。<br />
<br />
補充說明：應多傾聽學生的意見。我會以維護社科院學生最佳利益之立場作為爭取目標，我認為如此較能代表社科院之學生發聲。<br />
<br />
（六）學生會與校方之間的關係，應該要比較接近「偏向橋樑式學生會」。<br />
<br />
補充說明：以現行狀況而言，出席率時常偏低。又若出席之學生會成員又屬較偏激之人，容易造成許多不必要的衝突，溫和而堅定的方式較能兼顧最大多數學生的權益。<br />
<br />
（七）接下來的一年中，最重要、最值得被推動的校園議題類別是：「校長遴選爭議」、「監督學生會與資訊公開」；具體而言是：「維護大學自治與學術自由之價值」。<br />
<br />
補充說明：希望能提供學生更簡易取得校務資訊的管道，校務是全校師生皆應有機會關心的。
多元性別與性別平等之議題亦是我所關心的，歡迎所有同學對這部分給予更多政策上的建議，謝謝您。<p>","C,D,A,E,B",對於任何議題的立場我皆是以為師生們爭取最佳利益為主,-1,0.667,0,1,應多傾聽學生的意見。我會以維護社科院學生最佳利益之立場作為爭取目標，我認為如此較能代表社科院之學生發聲。,-0.667,以現行狀況而言，出席率時常偏低。又若出席之學生會成員又屬較偏激之人，容易造成許多不必要的衝突，溫和而堅定的方式較能兼顧最大多數學生的權益。,"H,N",維護大學自治與學術自由之價值,使各項校務會議與學生自治機關(如學生會、學代會)之資訊與有爭議之事項能夠公開透明，讓學生能更容易地取得正確的第一手資訊。,"希望能提供學生更簡易取得校務資訊的管道，校務是全校師生皆應有機會關心的。
多元性別與性別平等之議題亦是我所關心的，歡迎所有同學對這部分給予更多政策上的建議，謝謝您。"
陳其鴻,社會科學院,4,https://drive.google.com/file/d/1uw1l9173jjmO1na7MCe_lnyuPO38YJVq/view?usp=drivesdk,"<p>（一）未來一年中，學生代表的任務，重要性由高到低排序為：「監督學生會行政施政」、「反映選民意見」、「向校方爭取權益」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「對社會議題進行表態、倡議」。<br />
<br />
補充說明：這五項我覺得都很重要 有夠難選<br />
<br />
（二）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定不行」表態<br />
（三）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「偏向可以」表態<br />
（四）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「偏向不行」表態<br />
（五）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「偏向可以」表態。<br />
<br />
補充說明：說到底如果方便的話還是先藉由社群軟體或網站進行意見調查比較好，而且應避免使用「全體學生」此類概括所有個體的詞語。<br />
<br />
（六）學生會與校方之間的關係，應該要比較接近「偏向橋樑式學生會」。<br />
<br />
補充說明：既然是藉由程序上得到權力，那在非極端的狀況下也偏向希望以程序內的方式解決，但不排除在極端狀況下採取體制外的手段，但會坦然接受違反體制的結果。<br />
<br />
（七）接下來的一年中，最重要、最值得被推動的校園議題類別是：「學生意見表達」；具體而言是：「促進學生會學代會與學生之間的聯繫，讓學生實質自決」。<br />
<br />
補充說明：無。<p>","E,C,A,D,B",這五項我覺得都很重要 有夠難選,-1,0.667,-0.667,0.667,說到底如果方便的話還是先藉由社群軟體或網站進行意見調查比較好，而且應避免使用「全體學生」此類概括所有個體的詞語。,-0.667,既然是藉由程序上得到權力，那在非極端的狀況下也偏向希望以程序內的方式解決，但不排除在極端狀況下採取體制外的手段，但會坦然接受違反體制的結果。,C,促進學生會學代會與學生之間的聯繫，讓學生實質自決,,無。
鄭浩傑,社會科學院,5,https://drive.google.com/file/d/1U5HXRQMRhENayg4vhhWiH-Q5fR9CuUOj/view?usp=drivesdk,"<p>（一）未來一年中，學生代表的任務，重要性由高到低排序為：「向校方爭取權益」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「監督學生會行政施政」、「反映選民意見」、「對社會議題進行表態、倡議」。<br />
<br />
補充說明：為學生爭權益是老問題了，不論是服學、英檢等直接有關係到學生在學校的核心問題都是最重要的議題。次要的像是資訊公開、學生會都要直接公開透明公布明細是最簡單的邏輯。選民意見我排在第四不代表不重視，而是因為歷屆投票率不高之餘，選民大多的意見就跟最重要的議題一樣，仍然是老掉牙但仍舊沒有解決的問題。而最後一項對社會議題進行表態，我並不反對學代需要負起監督社會民主的義務，但學生階層就如地心說一樣，並不一定能得到以及看到簡潔的答案。篇幅所限，歡迎你們直接找我聊天<br />
<br />
（二）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「介於不行與可以中間」表態<br />
（三）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「偏向可以」表態<br />
（四）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「介於不行與可以中間」表態<br />
（五）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」表態。<br />
<br />
補充說明：正如前篇所說，學代與學生會面臨公共議題是否應發言是最敏感的問題。歡迎找我聊天<br />
<br />
（六）學生會與校方之間的關係，應該要比較接近「偏向工會式學生會」。<br />
<br />
補充說明：其於學生與校方之間的權力不平等，這題我決定給4分。但工會式會在橋樑式起不了作用時用上。<br />
<br />
（七）接下來的一年中，最重要、最值得被推動的校園議題類別是：「關注學權議題」、「監督學生會與資訊公開」；具體而言是：「學生權益問題。英檢、服學、路面問題等。」。<br />
<br />
補充說明：無。<p>","A,D,E,C,B",為學生爭權益是老問題了，不論是服學、英檢等直接有關係到學生在學校的核心問題都是最重要的議題。次要的像是資訊公開、學生會都要直接公開透明公布明細是最簡單的邏輯。選民意見我排在第四不代表不重視，而是因為歷屆投票率不高之餘，選民大多的意見就跟最重要的議題一樣，仍然是老掉牙但仍舊沒有解決的問題。而最後一項對社會議題進行表態，我並不反對學代需要負起監督社會民主的義務，但學生階層就如地心說一樣，並不一定能得到以及看到簡潔的答案。篇幅所限，歡迎你們直接找我聊天,0,0.667,0,1,正如前篇所說，學代與學生會面臨公共議題是否應發言是最敏感的問題。歡迎找我聊天,0.667,其於學生與校方之間的權力不平等，這題我決定給4分。但工會式會在橋樑式起不了作用時用上。,"J,N",學生權益問題。英檢、服學、路面問題等。,監督並公開學生組織運作。,無。
