name,region,number,link,a1,a2-1,a2-2,a2-3,a2-4,a2-5,a2,a3,a4,a5,a6,a7,a8-1,a8-2,a8,description
高聖傑,電機資訊學院,1,https://drive.google.com/file/d/12XV7ZV3yGk1G5qRgBAY3wsT5pshKch5g/view,0.667,E,A,C,B,D,"E,A,C,B,D",1,1,1,1,0.667,D,D,D,<p>（一）在理想中，台大校園空間與資源對外開放的程度為：偏向對外開放<br /><br />補充說明：無。<br /><br />（二）在接下來的一年中，學生代表的任務，按照重要性高低的排序為：「監督學生會行政施政」、「向校方爭取權益」、「反映選民意見」、「對社會議題進行表態、倡議」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」<br /><br />補充說明：無。<br /><br />（三）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定可以」代表臺大學生進行議題表態<br />（四）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「一定可以」代表臺大學生進行議題表態<br />（五）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「一定可以」代表臺大學生進行議題表態<br />（六）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」代表臺大學生進行議題表態。<br /><br />補充說明：我認為，學生會(或學生會長)當然可以針對社會或校園議題表達立場(即使和大多數學生的立場不同)，或者說，這也正是過去臺大學生會的重要功能之一。<br/><br/>普遍學生的想法本來就不一定朝著公平正義，因此學生會可根據其專業來決定是否表態，前提是必須為其選擇的立場所負責，且應接受公評。<br/><br/>然而，這題的設計卻讓我摸不著頭緒，何謂「未經學生意見調查的前提下，學生意見普遍一致之議題」？難道是要把自己的想法腦補為普遍學生的想法嗎？還是暗示可以強加個人想法在其他人身上，接著就能不負責任地代表「普遍」學生進行表態呢？<br /><br />（七）學生會與校方之間的關係，應該要比較接近「偏向工會式學生會」。<br /><br />補充說明：無。<br /><br />（八）接下來的一年中，最重要、最值得被推動的校園議題類別是：「平權議題」、「平權議題」；具體而言是：「落實公平正義。(平權議題)」與「降低齊頭平等(消除假平等)。(平權議題)」。<br /><br />補充說明：無。</p>
童昱文,法律學院,1,https://drive.google.com/file/d/1WuN6QY4KCWdwVhDCkBN8K2-y4mKzzLzq/view,-0.667,A,B,C,D,E,"A,B,C,D,E",0,1,1,1,1,C,D,"C,D",<p>（一）在理想中，台大校園空間與資源對外開放的程度為：偏向不對外開放<br /><br />補充說明：無。<br /><br />（二）在接下來的一年中，學生代表的任務，按照重要性高低的排序為：「向校方爭取權益」、「對社會議題進行表態、倡議」、「反映選民意見」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「監督學生會行政施政」<br /><br />補充說明：無。<br /><br />（三）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「介於不行與可以中間」代表臺大學生進行議題表態<br />（四）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「一定可以」代表臺大學生進行議題表態<br />（五）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「一定可以」代表臺大學生進行議題表態<br />（六）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」代表臺大學生進行議題表態。<br /><br />補充說明：無。<br /><br />（七）學生會與校方之間的關係，應該要比較接近「工會式學生會」。<br /><br />補充說明：無。<br /><br />（八）接下來的一年中，最重要、最值得被推動的校園議題類別是：「教務改革」、「平權議題」；具體而言是：「廢除英檢門檻，增加外語授課課程質量。(教務改革)」與「提升外包人員（如保全、清潔工）權益。(平權議題)」。<br /><br />補充說明：無。</p>
凌正峰,法律學院,4,https://drive.google.com/file/d/1nGf6NP7OzFtSyvqk4qjN1teXJqOiCcX_/view,0.667,C,E,A,D,B,"C,E,A,D,B",-1,0.667,0,1,-0.667,C,"",C,<p>（一）在理想中，台大校園空間與資源對外開放的程度為：偏向對外開放<br /><br />補充說明：無。<br /><br />（二）在接下來的一年中，學生代表的任務，按照重要性高低的排序為：「反映選民意見」、「監督學生會行政施政」、「向校方爭取權益」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「對社會議題進行表態、倡議」<br /><br />補充說明：無。<br /><br />（三）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定不行」代表臺大學生進行議題表態<br />（四）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「偏向可以」代表臺大學生進行議題表態<br />（五）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「介於不行與可以中間」代表臺大學生進行議題表態<br />（六）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」代表臺大學生進行議題表態。<br /><br />補充說明：無。<br /><br />（七）學生會與校方之間的關係，應該要比較接近「偏向橋樑式學生會」。<br /><br />補充說明：無。<br /><br />（八）接下來的一年中，最重要、最值得被推動的校園議題類別是：「教務改革」；具體而言是：「廢除英檢。(教務改革)」。<br /><br />補充說明：無。</p>
鄧廣志,工學院,2,https://drive.google.com/file/d/1wKa_wokoPXHpNsD0JdZjfaXxMUQWdpqi/view,-0.667,A,C,E,B,D,"A,C,E,B,D",0,1,0.667,1,0,I,"",I,<p>（一）在理想中，台大校園空間與資源對外開放的程度為：偏向不對外開放<br /><br />補充說明：無。<br /><br />（二）在接下來的一年中，學生代表的任務，按照重要性高低的排序為：「向校方爭取權益」、「反映選民意見」、「監督學生會行政施政」、「對社會議題進行表態、倡議」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」<br /><br />補充說明：無。<br /><br />（三）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「介於不行與可以中間」代表臺大學生進行議題表態<br />（四）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「一定可以」代表臺大學生進行議題表態<br />（五）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「偏向可以」代表臺大學生進行議題表態<br />（六）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」代表臺大學生進行議題表態。<br /><br />補充說明：無。<br /><br />（七）學生會與校方之間的關係，應該要比較接近「介於橋樑式學生會與工會式學生會之間」。<br /><br />補充說明：依據校方對學生會的態度決定<br /><br />（八）接下來的一年中，最重要、最值得被推動的校園議題類別是：「空間議題」；具體而言是：「系空間議題。(空間議題)」。<br /><br />補充說明：無。</p>
張平,工學院,3,https://drive.google.com/file/d/1NkmpcGmkcd7dj1NNqtVSf1CbNsHfX7TU/view,0.667,D,E,C,B,A,"D,E,C,B,A",-1,0.667,-1,0.667,-0.667,A,I,"A,I",<p>（一）在理想中，台大校園空間與資源對外開放的程度為：偏向對外開放<br /><br />補充說明：無。<br /><br />（二）在接下來的一年中，學生代表的任務，按照重要性高低的排序為：「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「監督學生會行政施政」、「反映選民意見」、「對社會議題進行表態、倡議」、「向校方爭取權益」<br /><br />補充說明：無。<br /><br />（三）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定不行」代表臺大學生進行議題表態<br />（四）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「偏向可以」代表臺大學生進行議題表態<br />（五）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「一定不行」代表臺大學生進行議題表態<br />（六）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「偏向可以」代表臺大學生進行議題表態。<br /><br />補充說明：無。<br /><br />（七）學生會與校方之間的關係，應該要比較接近「偏向橋樑式學生會」。<br /><br />補充說明：非固定傾向橋樑式，視校方態度可能更改作為。<br /><br />（八）接下來的一年中，最重要、最值得被推動的校園議題類別是：「資訊公開」、「空間議題」；具體而言是：「選舉資訊透明，由學生會積極提供參選人資訊，刺激投票率。(資訊公開)」與「增設腳踏車停放空間，減輕違停亂象。(空間議題)」。<br /><br />補充說明：性別友善校園(Ex.增設性別友善廁所)</p>
黃瑋程,工學院,5,https://drive.google.com/file/d/1dK3H38unMJ_i3zYJH0LmmoLMRu2_RZ4N/view,1,D,A,C,E,B,"D,A,C,E,B",-0.667,0.667,0,1,0,E,K,"E,K",<p>（一）在理想中，台大校園空間與資源對外開放的程度為：完全對外開放<br /><br />補充說明：無。<br /><br />（二）在接下來的一年中，學生代表的任務，按照重要性高低的排序為：「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「向校方爭取權益」、「反映選民意見」、「監督學生會行政施政」、「對社會議題進行表態、倡議」<br /><br />補充說明：若是重要的社會議題，還是會試著去表態倡議，只是會比較以個人身分參與，在除非學生間有普遍共識。<br /><br />（三）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「偏向不行」代表臺大學生進行議題表態<br />（四）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「偏向可以」代表臺大學生進行議題表態<br />（五）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「介於不行與可以中間」代表臺大學生進行議題表態<br />（六）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」代表臺大學生進行議題表態。<br /><br />補充說明：基本上還是希望以議題為主就事論事，若意見分歧也應該要納入雙方意見去討論而非消極地不表態。<br /><br />（七）學生會與校方之間的關係，應該要比較接近「介於橋樑式學生會與工會式學生會之間」。<br /><br />補充說明：無。<br /><br />（八）接下來的一年中，最重要、最值得被推動的校園議題類別是：「民主參與」、「校園安全」；具體而言是：「開放校務資訊、推動審議式民主討論。(民主參與)」與「保障行的安全，打造台大成為以人為本的校園。(校園安全)」。<br /><br />補充說明：無。</p>
張至慶,管理學院,1,https://drive.google.com/file/d/1kpglyS-TjfaOGzEwwNSFPcGa_IC4DuDy/view,0.667,C,E,D,A,B,"C,E,D,A,B",-1,0.667,1,1,-1,B,"",B,<p>（一）在理想中，台大校園空間與資源對外開放的程度為：偏向對外開放<br /><br />補充說明：無。<br /><br />（二）在接下來的一年中，學生代表的任務，按照重要性高低的排序為：「反映選民意見」、「監督學生會行政施政」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「向校方爭取權益」、「對社會議題進行表態、倡議」<br /><br />補充說明：無。<br /><br />（三）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定不行」代表臺大學生進行議題表態<br />（四）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「偏向可以」代表臺大學生進行議題表態<br />（五）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「一定可以」代表臺大學生進行議題表態<br />（六）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」代表臺大學生進行議題表態。<br /><br />補充說明：無。<br /><br />（七）學生會與校方之間的關係，應該要比較接近「橋樑式學生會」。<br /><br />補充說明：無。<br /><br />（八）接下來的一年中，最重要、最值得被推動的校園議題類別是：「族群交流」；具體而言是：「推動國際生相關的議題。(族群交流)」。<br /><br />補充說明：無。</p>
林世峰,理學院,1,https://drive.google.com/file/d/1PkeR_jLY0_Sp94nBmbcgxucb_Xjw3oEJ/view,0.667,C,A,E,D,B,"C,A,E,D,B",-0.667,0,-1,0,0,C,M,"C,M",<p>（一）在理想中，台大校園空間與資源對外開放的程度為：偏向對外開放<br /><br />補充說明：在本人的理想中，在不影響校內學生權益的前提下，台大校園空間與資源對外開放若有相當的程度，可以促進學術、體育、藝術等各方面良性的交流，以及學生在社區或社會當中的參與。<br/>然而，此處必須強調的是，切勿顧此失彼，例如體育場地或教學教室等空間，應優先讓校內生使用。<br /><br />（二）在接下來的一年中，學生代表的任務，按照重要性高低的排序為：「反映選民意見」、「向校方爭取權益」、「監督學生會行政施政」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「對社會議題進行表態、倡議」<br /><br />補充說明：本人認為，作為一名由學生投票選舉產生的學生代表，在接下來一年的的任務中，最重要的是傾聽學生的心聲，設法廣泛且深入地蒐集選民的意見，並將之有效地反映給學生會與校方，進而監督行政單位是否徹底落實，盡心盡力為學生爭取權益；必要時，主動對社會議題進行表態與倡議，透過提案促進各方面施政的優化與措施的改善；整體上，資訊皆必須公開透明，確保與作為服務對象的學生保持密切且有效的聯繫與溝通，不斷地適時調整，忠實地為選民發聲。<br /><br />（三）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「偏向不行」代表臺大學生進行議題表態<br />（四）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「介於不行與可以中間」代表臺大學生進行議題表態<br />（五）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「一定不行」代表臺大學生進行議題表態<br />（六）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「介於不行與可以中間」代表臺大學生進行議題表態。<br /><br />補充說明：不論是否與學生身份有關，或者學生是否意見普遍一致，面對各種議題時，臺大學生會長在未經學生意見調查的前提下，皆不可以過於武斷地代表臺大學生進行表態。因為人心的變化之快實在難以捉摸，所以即使過去不久的資訊顯示學生意見普遍一致，仍須經由學生意見調查，才能真正追蹤到當時學生意見的變化，而後臺大學生會長方可代表全體學生發聲。<br /><br />（七）學生會與校方之間的關係，應該要比較接近「介於橋樑式學生會與工會式學生會之間」。<br /><br />補充說明：若本人擔任學生代表的話，我認為學生會與校方之間的關係並無固定形式，端視議題性質、學生需求、當時狀況等條件而定。因為，若此案校方已有動作進行改善，我們實在不必勞師動眾，過度耗費人力、時間、金錢等資源，從事不必要的工會式激進抗爭；然而，若長期以來學生意見皆普遍一致，但校方卻不斷敷衍塞責，那麼過於溫和的體制內手段僅為一種形式，長此以往也浪費公共資源，不如即刻發動體制外的手段，促使民意的實現。<br /><br />（八）接下來的一年中，最重要、最值得被推動的校園議題類別是：「教務改革」、「校務參與」；具體而言是：「推動課程修習彈性化、放寬必修課程的限制、改善學用落差的問題、增設校區內學生自由使用的空間、保障學生在校園的體育場地或各教學大樓教室的使用權益、改善各系館實驗室的功能性與安全性、增設校區內跨建築的遮雨設備與監視器。(教務改革)」與「要求校方全面增加各級校務會議學生代表的參與席次、促使學代會的運作以及各大議題方案的進展透明化。(校務參與)」。<br /><br />補充說明：若本人當選學生代表，在接下來的一年任期中，我將不斷蒐集學生意見，並傳達給各單位，影響校方與學生會的行政；我也會積極透過監督、質詢與提案，落實學代會、學生會與學生法院之間的三權分立，為理學院學生發聲，進而關心各項議題，爭取臺大全體學生的權利。若同學們有任何關於校園議題的想法，都隨時歡迎與我交流討論!本人雖然能力有限，但願意盡心盡力，願全體臺大人合作共好 !以上如有未盡之處，或對政見有任何想法，都歡迎透過個人臉書與我聯絡，期待和同學們多多討論交流，請大家多多指教 !<br/><br/><br/></p>
陳威廷,理學院,2,https://drive.google.com/file/d/159FnPKVZpEOboxBlIQEwyfq5OmmAwzix/view,0.667,E,A,C,B,D,"E,A,C,B,D",-1,1,-0.667,1,-1,"","","",<p>（一）在理想中，台大校園空間與資源對外開放的程度為：偏向對外開放<br /><br />補充說明：無。<br /><br />（二）在接下來的一年中，學生代表的任務，按照重要性高低的排序為：「監督學生會行政施政」、「向校方爭取權益」、「反映選民意見」、「對社會議題進行表態、倡議」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」<br /><br />補充說明：我認為資訊公開是一個基本且必要的條件，這代表著學代的工作可供檢視，進而達成民主選舉重要的汰換與改進機制，另一方面為何我又把它放在最不重要呢?因為我如果在未來的一年裡沒有把前面的四項做好，也只是徒增罵名，並沒有替大家解決問題，也只是替大家增加了一年學代的不良紀錄，所以，對我來說，要做的重要的事在這一年裡就是完成前面四項並且想辦法改進。<br /><br />（三）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定不行」代表臺大學生進行議題表態<br />（四）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「一定可以」代表臺大學生進行議題表態<br />（五）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「偏向不行」代表臺大學生進行議題表態<br />（六）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」代表臺大學生進行議題表態。<br /><br />補充說明：針對意見分歧與表態的事項來說，我認為學生會長被賦予的權限並沒有到說，可以擅自代表全體學生。畢竟，選民並非因為要給他表達這些特定議題而投給他的，這些特定議題的立場並不能透過一個強勢或會選舉的學生會長，就一口氣地把台大學生對外的名聲給站死了。<br /><br />（七）學生會與校方之間的關係，應該要比較接近「橋樑式學生會」。<br /><br />補充說明：無。<br /><br />（八）接下來的一年中，最重要、最值得被推動的校園議題類別是：無；具體而言是：無。<br /><br />補充說明：無。</p>
鄭惟心,社會科學院,2,https://drive.google.com/file/d/1mCdhxGmv4r0-ebN9ocqOI8HlzD_eS20z/view,0.667,A,C,D,E,B,"A,C,D,E,B",-1,0.667,0,1,-0.667,J,K,"J,K","<p>（一）在理想中，台大校園空間與資源對外開放的程度為：偏向對外開放<br /><br />補充說明：無。<br /><br />（二）在接下來的一年中，學生代表的任務，按照重要性高低的排序為：「向校方爭取權益」、「反映選民意見」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「監督學生會行政施政」、「對社會議題進行表態、倡議」<br /><br />補充說明：本題之抉擇相當困難，但就我個人而言，相信「向校方爭取權益」與「反映選民意見」二者之比重相當接近，緊接著是「資訊公開」，以三者之結合，期待能讓學生自治以務實的方式和學生的生活接軌。至於「監督學生會行政施政」對於我而言，是學代一定、必須做到的基本性義務，定不負選民期望良好實踐之。<br /><br />（三）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定不行」代表臺大學生進行議題表態<br />（四）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「偏向可以」代表臺大學生進行議題表態<br />（五）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「介於不行與可以中間」代表臺大學生進行議題表態<br />（六）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」代表臺大學生進行議題表態。<br /><br />補充說明：無。<br /><br />（七）學生會與校方之間的關係，應該要比較接近「偏向橋樑式學生會」。<br /><br />補充說明：無。<br /><br />（八）接下來的一年中，最重要、最值得被推動的校園議題類別是：「學務改革」、「校園安全」；具體而言是：「推動建置「My NTU」手機APP。(學務改革)」與「爭取社科機車地下停車場防滑措施，機車族不再在雨天凌波微步。(校園安全)」。<br /><br />補充說明：本人認為本人政見所列之事項階相當值得推動，無任何一者較不值得推動，然在本題限制下，仍將個人認為影響最為廣泛，又或影響人身安全的事項，放為第一、第二。<br />其他政見如廢止「外文領域限定修習英文」限修英文之不合理規定、改善學分抵免系統，以為轉系轉學生、行政人員減少困擾，也是本人會盡力推動的。至於良善監督學生會、資訊透明公開、擔任溝通橋樑，對於我而言更是必做的基本工作內容。</p>"
